engine,ok,n_synth_bars,avg_bars_per_session,band_lo,band_hi,bars_in_band,mean_log_return,std_log_return,mean_near_zero,lag1_autocorr,autocorr_ok,cross_session_bars,median_n_source_bars,symbol
vol_budget,True,9706,6.166454891994918,4,30,True,2.8145358993947022e-05,0.0039052262839516113,True,-0.02545369172875035,True,0,8,ES
dollar_imbalance,True,13372,8.388958594730239,4,30,True,2.006186864369783e-05,0.0032402953586628367,True,0.0017547317619824889,True,0,5,ES
vol_budget,True,9732,6.18297331639136,4,30,True,2.8077202746577233e-05,0.003890777361558955,True,-0.03183452502081693,True,0,8,MES
dollar_imbalance,True,14464,9.074027603513175,4,30,True,1.8436315118113743e-05,0.003104510692682702,True,0.01022206392139741,True,0,4,MES
vol_budget,True,9746,6.191867852604829,4,30,True,3.74158735973583e-05,0.004870259194568836,True,-0.004090885601526744,True,0,9,MNQ
dollar_imbalance,True,14897,9.345671267252195,4,30,True,2.5092762272245812e-05,0.0038662273392069675,True,8.854978491225425e-05,True,0,4,MNQ
vol_budget,True,9687,6.15829624920534,4,30,True,3.207098243355885e-05,0.003764144558351969,True,-0.04395469708759182,True,0,9,YM
dollar_imbalance,True,14511,9.109227871939737,4,30,True,2.2202258241982938e-05,0.0030365679374904373,True,-0.039901317310084713,True,0,4,YM
vol_budget,True,9708,6.171646535282899,4,30,True,3.2232304312004583e-05,0.0037562576144017294,True,-0.03474070973813641,True,0,9,MYM
dollar_imbalance,True,15299,9.60389202762084,4,30,True,1.9764522184770494e-05,0.0029552004568255724,True,0.014065619830645486,True,0,4,MYM
vol_budget,True,9606,6.10292249047014,4,30,True,-3.24668625698794e-05,0.005486434778543108,True,-0.03984959851948207,True,0,9,RTY
dollar_imbalance,True,14210,8.914680050188206,4,30,True,-2.3168261760382656e-05,0.004570001363163772,True,-0.020227026866135252,True,0,4,RTY
vol_budget,True,9622,6.113087674714104,4,30,True,-3.2178260907306775e-05,0.005520921578844156,True,-0.04267810291752795,True,0,8,M2K
dollar_imbalance,True,15582,9.775407779171895,4,30,True,-2.1398957699426687e-05,0.0043404270312168095,True,-0.017005132239075304,True,0,3,M2K
vol_budget,True,8948,5.684879288437103,4,30,True,-1.721883721976278e-05,0.0029214325518589893,True,0.005995874788357608,True,0,8,MGC
dollar_imbalance,True,14394,9.030112923462987,4,30,True,-1.0938689608560102e-05,0.0023153881361331037,True,-0.005284373122808488,True,0,3,MGC
vol_budget,True,6961,5.88917089678511,4,30,True,-0.000133439647095014,0.006564058420704758,True,0.02100057437217018,True,0,10,MCL
dollar_imbalance,True,10950,9.10981697171381,4,30,True,-8.546786725253063e-05,0.005339969345470062,True,0.024707895535357027,True,0,4,MCL
