n_trades,gross_profit,gross_loss,net_profit,profit_factor,win_rate,avg_win,avg_loss,expectancy,max_drawdown,max_drawdown_pct,sharpe,sortino,calmar,avg_bars_held,avg_mae,avg_mfe,max_consec_win,max_consec_loss,trades_per_month,top_month_share,deflated_sharpe,symbol,variant,kind
19793,1077441.0300008557,1169774.0416937382,-92333.01169288256,0.921067652040567,0.49770120749760016,109.37377220595428,-117.77829658615971,-4.664932637441649,-94516.73438528123,-0.9383768613913416,-0.504663765999257,-0.7607697463096152,-0.9768959147118107,2.854797150507755,25.01261809730713,24.602523619461426,11,13,263.9066666666667,0.0,-0.504663765999257,MNQ,baseline__opening_range_breakout,baseline
1552,289679.1769923976,305321.4522912351,-15642.275298837501,0.9487678471936623,0.5019329896907216,371.86030422644103,-394.98247385670777,-10.078785630694266,-29574.05782217208,-0.2795828703290367,-0.4047850601402727,-1.6320166321565688,-0.528918804206512,3.3563144329896906,25.296069587628867,25.19958118556701,10,15,20.69333333333333,0.0,-0.4047850601402727,MNQ,baseline__random_entry_matched_holding,baseline
29942,1468079.9680056884,1586098.483503636,-118018.51549794727,0.925591937243866,0.4968605971544987,98.68118357233908,-105.40261054649362,-3.9415708869797363,-120673.1849296895,-1.1919281843776106,-0.4542809388576418,-0.6516647316033013,-0.9780011654346492,2.9582860196379666,25.795112216952777,25.39432903613653,12,15,399.2266666666667,0.0,-0.4542809388576418,MNQ,baseline__ema_crossover_9_21,baseline
7443,730327.3099362638,799057.7425893934,-68730.43265312952,0.9139856496097459,0.49818621523579204,196.95990019856092,-214.3970331605563,-9.234237895086595,-70955.55163123523,-0.6974568275673909,-0.6458757499965584,-1.4481292909751304,-0.9686406640925023,2.7132876528281606,23.11329437054951,23.264711809754132,10,12,99.24,0.0,-0.6458757499965584,MNQ,baseline__donchian_channel_20,baseline
8465,601375.9844120417,693852.0890496883,-92476.10463764652,0.8667207231957701,0.4819846426461902,147.39607461079453,-158.3052906798285,-10.924525060560724,-93859.4548959843,-0.9336583649714107,-0.9040719010135712,-1.4508117180704079,-0.9852614714215973,2.536326048434731,23.852421736562317,22.486769049025398,12,14,112.86666666666666,0.0,-0.9040719010135712,MNQ,baseline__bollinger_mean_reversion_20,baseline
1159,152766.85707824357,168898.71168352422,-16131.854605280678,0.9044879949380082,0.5047454702329595,261.1399266294762,-294.7621495349463,-13.918770151234407,-18256.23422594466,-0.18123415608631924,-0.7467959688807514,-2.104529846328578,-0.8836353875409343,2.6747195858498705,37.46850733390854,38.09318377911993,8,11,18.396825396825395,0.0,-0.7467959688807514,YM,strategy__cost=fixed_tick__slip=1x__conf=0.50,strategy
823,103782.31655754868,123557.25084674366,-19774.93428919499,0.83995326738272,0.4823815309842041,261.4164145026415,-290.7229431688086,-24.027866694040085,-21965.56913455893,-0.21795344498469038,-1.2961490193977467,-3.6136272928704423,-0.9002696068586101,2.6998784933171325,38.32685297691373,37.79951397326853,11,10,13.063492063492063,0.0,-1.2961490193977467,YM,strategy__cost=fixed_tick__slip=1x__conf=0.65,strategy
1159,116789.5308748271,160829.21746307335,-44039.686588246244,0.7261711069485379,0.48921484037963764,205.97800859757868,-271.67097544438064,-37.99800395879745,-45294.97296877563,-0.45452190477893817,-2.3402801526339103,-6.085403786009896,-0.9722864084410707,2.6842105263157894,38.36324417601381,37.057808455565144,8,11,18.396825396825395,0.0,-2.3402801526339103,YM,strategy__cost=fixed_tick__slip=2x__conf=0.50,strategy
820,84099.72615260286,124667.89315508347,-40568.16700248062,0.6745900971309837,0.46707317073170734,219.58153042455055,-285.28122003451597,-49.473374393269054,-42203.80184784457,-0.4207714386172904,-2.8861550607831803,-7.373782520472098,-0.9612443719819171,2.7219512195121953,39.35243902439024,36.96463414634146,10,10,13.015873015873016,0.0,-2.8861550607831803,YM,strategy__cost=fixed_tick__slip=2x__conf=0.65,strategy
1157,101084.71155453115,169177.31776294962,-68092.60620841847,0.5975074725807542,0.4736387208297321,184.46115247177218,-277.79526726264305,-58.85272792430291,-69227.89258894786,-0.6948909964122716,-3.740813538526324,-9.48852362091096,-0.9836007375340696,2.6914433880726016,39.41400172860847,36.155574762316334,8,11,18.365079365079364,0.0,-3.740813538526324,YM,strategy__cost=fixed_tick__slip=3x__conf=0.50,strategy
819,70226.50668774317,127051.13037956956,-56824.62369182638,0.5527420848436303,0.4517704517704518,189.80136942633288,-282.9646556337852,-69.38293491065492,-57996.92480080156,-0.5804761197114411,-4.3001013483409585,-10.37707132548163,-0.9797868401988277,2.733821733821734,40.48962148962149,36.18315018315018,10,11,13.0,0.0,-4.3001013483409585,YM,strategy__cost=fixed_tick__slip=3x__conf=0.65,strategy
