timestamp,equity
2021-01-04 15:20:00-05:00,99542.02477992544
2021-01-08 15:10:00-05:00,99918.08308245301
2021-01-14 12:20:00-05:00,99595.73256869236
2021-01-28 15:30:00-05:00,100776.0778985727
2021-02-01 14:55:00-05:00,100364.3342700068
2021-02-10 13:10:00-05:00,100172.71331749807
2021-02-10 13:30:00-05:00,100459.71331749807
2021-02-10 13:45:00-05:00,100115.58880591378
2021-02-10 14:15:00-05:00,99724.64049039481
2021-02-10 14:50:00-05:00,99673.87693332018
2021-02-16 12:50:00-05:00,99214.1648616394
2021-02-16 13:30:00-05:00,98717.03809798024
2021-02-24 14:25:00-05:00,98966.72415383192
2021-02-26 15:00:00-05:00,98466.2914782288
2021-03-01 12:50:00-05:00,98630.12512699155
2021-03-02 13:50:00-05:00,98128.50493953191
2021-03-02 14:00:00-05:00,97659.6285349582
2021-03-03 15:25:00-05:00,97763.37778346227
2021-03-05 14:30:00-05:00,97984.67975641358
2021-03-10 12:45:00-05:00,98247.35150180467
2021-03-10 14:00:00-05:00,98213.04722371296
2021-03-10 15:55:00-05:00,98530.54832548303
2021-03-18 13:15:00-04:00,98640.31054846836
2021-03-19 14:35:00-04:00,98880.22024919739
2021-03-19 15:10:00-04:00,98408.74975405025
2021-03-24 15:00:00-04:00,98466.74975405025
2021-04-01 13:45:00-04:00,97958.64845783441
2021-04-08 13:30:00-04:00,97623.10747490276
2021-04-14 12:45:00-04:00,97843.60747490276
2021-04-19 13:55:00-04:00,97965.89425028351
2021-04-27 13:30:00-04:00,98049.89425028351
2021-04-28 14:40:00-04:00,97633.68388863382
2021-04-30 14:20:00-04:00,97807.49360631304
2021-05-03 13:00:00-04:00,97349.35033855734
2021-05-03 13:40:00-04:00,96870.32559758387
2021-05-03 14:20:00-04:00,96975.32559758387
2021-05-07 14:55:00-04:00,97001.82559758387
2021-05-10 13:15:00-04:00,96719.17327930125
2021-05-14 12:25:00-04:00,96771.61379346029
2021-05-14 13:05:00-04:00,97009.06622436969
2021-05-14 13:30:00-04:00,96680.84231366406
2021-05-21 12:50:00-04:00,96210.620847562
2021-05-21 14:05:00-04:00,96765.9027075142
