symbol,date_prev,date_next,close_prev,open_next,gap,gap_atr_mult,cal_match,vol_zscore_prev,vol_zscore_next,conditions_met,mode
ES.v.0,2020-01-02,2020-01-03,3258.5,3221.5,37.0,18.704375953937475,False,,,legacy_atr_only,legacy_v1
ES.v.0,2020-01-03,2020-01-06,3234.25,3214.5,19.75,6.107782597591269,False,,,legacy_atr_only,legacy_v1
ES.v.0,2020-01-08,2020-01-09,3253.75,3271.0,17.25,6.285029967892002,False,,,legacy_atr_only,legacy_v1
ES.v.0,2020-01-15,2020-01-16,3291.0,3305.25,14.25,5.201878430284106,False,,,legacy_atr_only,legacy_v1
ES.v.0,2020-01-20,2020-01-21,3325.25,3316.5,8.75,12.87433366943933,False,,,legacy_atr_only,legacy_v1
ES.v.0,2020-01-24,2020-01-27,3294.5,3236.75,57.75,12.604120331815365,False,,,legacy_atr_only,legacy_v1
ES.v.0,2020-01-29,2020-01-30,3272.5,3249.0,23.5,6.568832859313557,False,,1.5195037876764665,legacy_atr_only,legacy_v1
ES.v.0,2020-02-03,2020-02-04,3247.0,3286.5,39.5,13.540546780985233,False,0.08594460675667916,-0.25680431878026505,legacy_atr_only,legacy_v1
ES.v.0,2020-02-04,2020-02-05,3296.0,3328.0,32.0,13.323754202279378,False,-0.25680431878026505,0.12126722994494382,legacy_atr_only,legacy_v1
ES.v.0,2020-02-06,2020-02-07,3344.5,3333.0,11.5,5.511741282511248,False,-0.5751973221194294,-0.19226882849191787,legacy_atr_only,legacy_v1
ES.v.0,2020-02-10,2020-02-11,3351.5,3366.25,14.75,6.0880576851066,False,-0.805840108182765,-0.20561569436157653,legacy_atr_only,legacy_v1
ES.v.0,2020-02-12,2020-02-13,3378.25,3362.25,16.0,8.607386438675881,False,-0.7382831653828167,-0.10133754963329132,legacy_atr_only,legacy_v1
ES.v.0,2020-02-17,2020-02-18,3388.0,3368.5,19.5,29.427979045928147,False,-2.5039010485274105,-0.19132172700476416,legacy_atr_only,legacy_v1
ES.v.0,2020-02-21,2020-02-24,3337.0,3232.75,104.25,26.068168464056622,True,0.77113490741899,2.2878982701416564,legacy_atr_only,legacy_v1
ES.v.0,2020-02-26,2020-02-27,3116.25,3054.25,62.0,7.016544870504077,True,1.8108162833718102,2.503916780608082,legacy_atr_only,legacy_v1
ES.v.0,2020-02-27,2020-02-28,2973.75,2885.75,88.0,7.053872226144767,True,2.503916780608082,-0.3925364141197437,legacy_atr_only,legacy_v1
ES.v.0,2020-03-04,2020-03-05,3127.0,3047.0,80.0,9.40691845439222,True,0.13170429771062084,0.44251177681036913,legacy_atr_only,legacy_v1
ES.v.0,2020-03-05,2020-03-06,3021.5,2928.25,93.25,6.998381238994811,True,0.44251177681036913,0.4913263931789458,legacy_atr_only,legacy_v1
ES.v.0,2020-03-06,2020-03-09,2970.5,2762.0,208.5,13.22279151325241,True,0.4913263931789458,0.35048013319221827,legacy_atr_only,legacy_v1
ES.v.0,2020-03-09,2020-03-10,2735.75,2840.25,104.5,5.4987592677624475,True,0.35048013319221827,0.7224358128726154,legacy_atr_only,legacy_v1
ES.v.0,2020-03-11,2020-03-12,2738.0,2563.0,175.0,9.932162918695152,True,0.2678318445814264,0.9940285296477798,legacy_atr_only,legacy_v1
ES.v.0,2020-03-12,2020-03-13,2469.75,2622.5,152.75,6.6081003138731695,True,0.9940285296477798,-0.3982564419252487,legacy_atr_only,legacy_v1
ES.v.0,2020-03-13,2020-03-16,2703.75,2513.5,190.25,6.219771755521163,True,-0.3982564419252487,-1.241065337613219,legacy_atr_only,legacy_v1
ES.v.0,2020-03-17,2020-03-18,2549.0,2353.0,196.0,7.521424445448173,True,-2.0764470787384273,0.40537837418040357,legacy_atr_only,legacy_v1
ES.v.0,2020-03-23,2020-03-24,2216.75,2346.75,130.0,5.828273698486538,True,-0.0017211482669864692,-0.263816939324792,legacy_atr_only,legacy_v1
ES.v.0,2020-03-31,2020-04-01,2571.75,2475.5,96.25,8.004960683381508,False,-0.4399043866719711,-0.8094245592815801,legacy_atr_only,legacy_v1
ES.v.0,2020-04-03,2020-04-06,2479.5,2575.25,95.75,8.827413603572118,False,-1.0736317046382908,-0.6985103168356196,legacy_atr_only,legacy_v1
