n_trades,gross_profit,gross_loss,net_profit,profit_factor,win_rate,avg_win,avg_loss,expectancy,max_drawdown,max_drawdown_pct,sharpe,sortino,calmar,avg_bars_held,avg_mae,avg_mfe,max_consec_win,max_consec_loss,trades_per_month,top_month_share,deflated_sharpe,symbol,baseline
1535,323083.3333333334,411672.0238095235,-88588.69047619012,0.7848076008264793,0.4775244299674267,440.768531150523,-515.2340723523448,-57.71250193888608,-89479.76190476136,-0.8973025887746093,-1.6834764311367518,-3.4848655558198987,-0.9900416428295858,3.9042345276872963,8.477687296416939,7.653094462540716,10,11,20.466666666666665,0.0,-1.6834764311367518,ES,buy_and_hold_intraday
32463,4386653.245205966,6132850.656703921,-1746197.4114979552,0.7152714929411892,0.46711640945075933,289.28074684819086,-355.32159077079496,-53.790389412499,-1747366.300876888,-17.560960094408255,-2.2173383775986797,-3.940884294293442,-0.9993310564714759,2.6607522410128452,5.836798817114869,5.390398299602625,15,24,432.84,0.0,-2.2173383775986797,ES,prior_bar_momentum
32296,4418269.707118127,6076848.683867647,-1658578.9767495207,0.7270659410768958,0.4647944017835026,294.33546779815646,-352.28108312276214,-51.35555414755761,-1665556.3692052613,-16.4666011353108,-2.1090462043370635,-3.957382600688017,-0.995810773754196,2.681446618776319,5.855918689621006,5.425393237552638,12,18,430.61333333333334,0.0,-2.1090462043370635,ES,prior_bar_mean_reversion
11764,1436344.5767377694,2045846.797110564,-609502.2203727944,0.7020782684052294,0.46429785787147226,262.9704461255528,-325.4608331388107,-51.8107973795303,-609751.7931248646,-6.106916046874755,-2.3421708522662614,-4.429239693346473,-0.9995906977972281,2.4159299557973477,5.324273206392384,4.9655304318259095,11,11,156.85333333333332,0.0,-2.3421708522662614,ES,atr_breakout
24499,3167592.239842684,4529038.600780487,-1361446.3609378028,0.6993961674993926,0.4595289603657292,281.36367381796805,-342.6935987273371,-55.57150744674488,-1363448.8138802901,-13.601077992749076,-2.3668244505155163,-4.31993765565435,-0.9985313325134748,2.6054941018000735,5.71092697661129,5.240438385240214,14,15,326.6533333333333,0.0,-2.3668244505155163,ES,vwap_mean_reversion
22042,2968311.9262101585,4011157.66727013,-1042845.741059972,0.7400137746842297,0.47332365484075856,284.51183036616106,-346.2969582379461,-47.31175669449106,-1048474.0377800068,-10.451079704383556,-1.9897927298443787,-3.638223327240491,-0.9946319159872076,2.6061609654296345,5.7155543961527995,5.322656746211777,12,15,293.8933333333333,0.0,-1.9897927298443787,ES,opening_range_breakout
1564,206258.55001186416,290052.97184850916,-83794.42183664502,0.7111064875404561,0.4725063938618926,279.10493912295556,-352.86249616606955,-53.576996059235945,-83579.5454255729,-0.8375952488658034,-2.2493735035473907,-4.163619105008791,-1.002570921030714,3.122762148337596,5.595748081841432,5.231297953964194,8,12,20.85333333333333,0.0,-2.2493735035473907,ES,random_entry_matched_holding
32690,4476848.266551611,6071465.895786763,-1594617.6292351522,0.7373587109594535,0.4718568369531967,290.2332749790348,-352.3980437510455,-48.77998254007807,-1595445.443707298,-16.032671489486173,-2.0148966350022386,-3.681207837744274,-0.9994811389662925,2.6522483940042827,5.785484857754665,5.404366778831447,13,17,435.8666666666667,0.0,-2.0148966350022386,ES,ema_crossover_9_21
7651,961421.6752375273,1350293.6474380048,-388871.97220047755,0.7120093300162463,0.47065743040125474,266.9874132845119,-334.2311008509913,-50.82629358260065,-390254.84255482606,-3.8874946156912635,-2.250061285494842,-4.160522790855064,-0.9964564940557933,2.390014377205594,5.4348124428179325,5.058358384524898,13,12,102.01333333333334,0.0,-2.250061285494842,ES,donchian_channel_20
9226,1096980.4654900227,1629346.8801355613,-532366.4146455389,0.6732639187296655,0.4608714502492955,257.99164287159516,-328.1004591493277,-57.70284138798384,-532295.8568967255,-5.334417517356214,-2.5864433301852725,-4.433647448926826,-1.0001325536314047,2.313028398005636,5.498780619986993,4.884565358768697,9,14,123.01333333333334,0.0,-2.5864433301852725,ES,bollinger_mean_reversion_20
1535,200010.654761905,259478.9285714287,-59468.273809523744,0.7708165586433989,0.4794788273615635,271.7536070134579,-325.1615646258505,-38.74154645571579,-59313.39285714281,-0.5944321258749015,-1.9365881003102174,-5.2211917384460875,-1.002611230700526,3.8638436482084693,8.42442996742671,7.638925081433225,9,13,20.466666666666665,0.0,-1.9365881003102174,MES,buy_and_hold_intraday
32274,564023.2723977391,810250.9386104767,-246227.66621273744,0.6961093724433066,0.4687364441965669,37.28339981476329,-47.347100953104466,-7.629288783935596,-245710.4780365884,-2.471170630360059,-1.94946839089369,-2.375701898700253,-1.002104868218408,2.6813224267212,5.858121088182438,5.427131746917023,15,15,430.32,0.0,-1.94946839089369,MES,prior_bar_momentum
32129,529228.1963265539,773149.9349606412,-243921.73863408726,0.6845091390371719,0.46279062529179243,35.59272286815212,-44.87231195360657,-7.591949286753004,-245251.82235830795,-2.433144068540501,-2.0760419302675355,-2.578428289595775,-0.9945766611989636,2.6987768060008093,5.877252637803854,5.435089794266862,11,18,428.38666666666666,0.0,-2.0760419302675355,MES,prior_bar_mean_reversion
11665,254145.6705488514,390408.37553861423,-136262.7049897628,0.6509739198044293,0.46712387483926276,46.64079107154549,-62.91835222217796,-11.68132918900667,-136214.0372255062,-1.3633112090242703,-2.0328209289531807,-2.275163761796365,-1.000357288905372,2.449121303043292,5.342434633519074,5.023960565795114,12,11,155.53333333333333,0.0,-2.0328209289531807,MES,atr_breakout
24315,407543.32909967494,621732.5712424626,-214189.2421427876,0.6554961859007088,0.457413119473576,36.64298948927126,-47.190327988042704,-8.808934490758281,-213802.473412321,-2.150177779228187,-2.243653364727952,-2.7029063545149703,-1.001809000262222,2.6236068270614847,5.74553773390911,5.232747275344438,14,15,324.2,0.0,-2.243653364727952,MES,vwap_mean_reversion
21857,415567.41504015075,591918.1476603654,-176350.73262021467,0.7020690558022858,0.47472205700690856,40.050830285288235,-51.68236686111634,-8.06838690672163,-176982.79307823617,-1.7630365170873927,-1.8057396255201252,-2.108933531389761,-0.9964286897780956,2.623644598984307,5.707473578258681,5.369698494761404,12,17,291.4266666666667,0.0,-1.8057396255201252,MES,opening_range_breakout
1563,144163.8331336027,207080.07306840605,-62916.239934803336,0.6961743397008564,0.47728726807421623,193.2491060772154,-254.0859792250381,-40.25351243429516,-62777.71699917343,-0.6294324631508105,-2.5874020047863993,-5.4937646948983145,-1.0022065621728762,3.060140754958413,5.584612923864364,5.251759436980167,8,12,20.84,0.0,-2.5874020047863993,MES,random_entry_matched_holding
32480,530043.1745378153,758769.3768886048,-228726.20235078956,0.6985563607104179,0.47312192118226604,34.49230002849061,-44.43224084374333,-7.0420628802583,-228276.1211247998,-2.296149914870499,-2.0009812112885017,-2.4717582508294735,-1.001971652679974,2.672937192118227,5.7917102832512315,5.444019396551724,12,16,433.06666666666666,0.0,-2.0009812112885017,MES,ema_crossover_9_21
7579,213687.72576079014,327267.1072917528,-113579.38153096262,0.6529459300970669,0.47064256498218765,59.90684770417442,-81.77588887849896,-14.9860643265553,-114351.97300955339,-1.135856385027606,-2.0850885805767514,-2.372232732222427,-0.9932437415966034,2.4219554030874786,5.465166908563135,5.095791001451379,13,12,101.05333333333333,0.0,-2.0850885805767514,MES,donchian_channel_20
9185,217205.15198479668,346353.7798467481,-129148.62786195145,0.627119334689819,0.4562874251497006,51.826569311571625,-69.45132942585685,-14.060819582139516,-128890.44594109742,-1.2922407915085543,-2.293046369751652,-2.620405387296318,-1.0020031113940906,2.336418072945019,5.531927054980947,4.899782253674469,8,14,122.46666666666667,0.0,-2.293046369751652,MES,bollinger_mean_reversion_20
1515,295675.64285714296,317009.92857142846,-21334.285714285536,0.9327015219667529,0.49372937293729374,395.28829258976333,-413.8510816859379,-14.082036775105964,-27371.761904761806,-0.25957691916024983,-0.5409786043187899,-2.7151941816854506,-0.779426833702439,4.221122112211221,43.347524752475245,40.8013201320132,9,10,20.2,0.0,-0.5409786043187899,MNQ,buy_and_hold_intraday
30050,1460247.7130066638,1583051.4276758195,-122803.7146691555,0.9224259474315046,0.49417637271214643,98.33317932704807,-104.2990794357504,-4.086646078840449,-123997.51187552401,-1.2453465066280127,-0.4634189323520519,-0.6490118696685316,-0.990372409991848,2.9588352745424293,25.803851913477537,25.603036605657238,15,11,400.6666666666667,0.0,-0.4634189323520519,MNQ,prior_bar_momentum
30037,1180054.8720622074,1324269.4371839222,-144214.56512171484,0.891098774107187,0.48866398108998904,80.39616242418636,-86.26600463708698,-4.801230652918562,-149330.9987045669,-1.4594497463740046,-0.7126595944458155,-1.0887361484086453,-0.9657376323252594,2.9609481639311515,26.01034557379232,25.38167926224323,11,15,400.49333333333334,0.0,-0.7126595944458155,MNQ,prior_bar_mean_reversion
11278,904655.0178949223,987299.1063437128,-82644.0884487904,0.9162927547307844,0.4947685759886505,162.12455517830148,-173.57579225452054,-7.327902859442312,-85382.20052832483,-0.8342000317900855,-0.5871070422122926,-1.0530906198345305,-0.967931113714666,2.6467458769285335,22.888211562333748,22.91443518354318,13,17,150.37333333333333,0.0,-0.5871070422122926,MNQ,atr_breakout
22860,954395.7005081361,1088120.666052496,-133724.96554436014,0.8771046541837222,0.4830708661417323,86.42540075234412,-92.13553480546113,-5.849736025562561,-135907.88033135943,-1.3470231970320716,-0.7911843455015602,-1.1719747832493945,-0.9839382765614688,2.8564304461942256,25.063867016622922,24.37965879265092,12,17,304.8,0.0,-0.7911843455015602,MNQ,vwap_mean_reversion
19793,1077441.0300008557,1169774.0416937382,-92333.01169288256,0.921067652040567,0.49770120749760016,109.37377220595428,-117.77829658615971,-4.664932637441649,-94516.73438528123,-0.9383768613913416,-0.504663765999257,-0.7607697463096152,-0.9768959147118107,2.854797150507755,25.01261809730713,24.602523619461426,11,13,263.9066666666667,0.0,-0.504663765999257,MNQ,opening_range_breakout
1552,289679.1769923976,305321.4522912351,-15642.275298837501,0.9487678471936623,0.5019329896907216,371.86030422644103,-394.98247385670777,-10.078785630694266,-29574.05782217208,-0.2795828703290367,-0.4047850601402727,-1.6320166321565688,-0.528918804206512,3.3563144329896906,25.296069587628867,25.19958118556701,10,15,20.69333333333333,0.0,-0.4047850601402727,MNQ,random_entry_matched_holding
