timestamp,equity
2021-04-19 12:30:00-04:00,100230.57614102542
2021-04-19 13:15:00-04:00,99890.10556343471
2021-04-20 11:35:00-04:00,99371.20244658757
2021-04-26 13:00:00-04:00,99019.2024465876
2021-04-27 11:20:00-04:00,98574.83226694871
2021-05-04 13:15:00-04:00,99002.74467590725
2021-05-10 11:45:00-04:00,99437.91342097824
2021-05-10 12:35:00-04:00,99692.55434508555
2021-05-12 12:10:00-04:00,99152.07854879735
2021-05-19 12:40:00-04:00,99428.27587620763
2021-05-19 12:55:00-04:00,99032.90783077985
2021-05-20 12:45:00-04:00,99277.37048435441
2021-05-24 12:10:00-04:00,99489.92256753655
2021-05-25 12:20:00-04:00,99119.97141522061
2021-05-26 13:15:00-04:00,98766.98588781498
2021-05-27 11:40:00-04:00,98279.94761415519
2021-05-27 12:10:00-04:00,98501.0890802281
2021-05-27 12:25:00-04:00,98689.12213744238
2021-05-27 12:35:00-04:00,98399.74963561399
2021-06-04 12:30:00-04:00,98626.758301465
2021-06-07 13:15:00-04:00,98822.5781457698
2021-06-21 11:25:00-04:00,98287.85451546432
2021-06-21 13:10:00-04:00,98367.85451546435
2021-06-30 12:05:00-04:00,98670.79996255803
2021-07-14 11:35:00-04:00,98177.37693683867
2021-07-14 13:25:00-04:00,98370.66951797936
2021-07-15 11:25:00-04:00,98694.77026707793
2021-07-15 12:05:00-04:00,98961.31783624613
2021-07-15 12:25:00-04:00,99165.41985973739
2021-07-23 12:35:00-04:00,99369.06475493048
2021-08-10 11:40:00-04:00,99752.71472373203
2021-08-24 12:20:00-04:00,99380.85899487657
2021-08-30 13:20:00-04:00,99085.67998917363
2021-09-10 11:35:00-04:00,98632.14926825701
2021-09-10 12:10:00-04:00,98938.54641262721
2021-09-17 12:00:00-04:00,98401.65067943884
2021-09-20 12:35:00-04:00,97945.82155921747
2021-09-29 13:00:00-04:00,98239.71206509483
2021-10-07 13:00:00-04:00,97913.213035275
2021-10-18 12:10:00-04:00,98206.28104402385
2021-10-19 12:10:00-04:00,98611.8455156752
2021-10-21 12:20:00-04:00,98205.25173120307
2021-10-25 13:10:00-04:00,98362.94444343109
2021-11-05 11:25:00-04:00,98796.2073560048
2021-11-08 12:05:00-05:00,98455.63369969898
2021-11-11 13:05:00-05:00,98164.18844129804
2021-11-12 12:45:00-05:00,97789.75935987053
2021-11-19 13:15:00-05:00,98200.4260213748
2021-11-26 11:35:00-05:00,98571.28229106186
2021-12-01 11:50:00-05:00,98030.6940667466
2021-12-15 12:55:00-05:00,97589.4561832689
2021-12-15 13:25:00-05:00,97731.86093058312
2021-12-20 12:10:00-05:00,97408.49852049936
2021-12-29 11:40:00-05:00,97705.25132330791
2021-12-31 11:30:00-05:00,97948.75660627375
2022-01-13 11:55:00-05:00,98245.62354447188
2022-01-20 12:00:00-05:00,98608.27590913129
2022-01-28 11:40:00-05:00,98934.95582680409
2022-02-01 11:40:00-05:00,98455.66767238767
2022-02-01 12:10:00-05:00,98766.92989581308
2022-02-23 13:00:00-05:00,98413.52538444423
2022-03-03 11:35:00-05:00,97887.22691890405
2022-03-03 12:10:00-05:00,97341.02869462907
2022-03-04 11:45:00-05:00,96810.36082072003
2022-03-04 12:20:00-05:00,97224.54989149616
2022-03-04 13:05:00-05:00,96756.40114267584
2022-03-09 12:10:00-05:00,96286.48986709738
