symbol,date_prev,close_prev,date_next,open_next,gap,gap_atr_mult
ES.v.0,2020-01-02,3258.5,2020-01-03,3221.5,37.0,18.704375953937475
ES.v.0,2020-01-03,3234.25,2020-01-06,3214.5,19.75,6.107782597591269
ES.v.0,2020-01-08,3253.75,2020-01-09,3271.0,17.25,6.285029967892002
ES.v.0,2020-01-15,3291.0,2020-01-16,3305.25,14.25,5.201878430284106
ES.v.0,2020-01-20,3325.25,2020-01-21,3316.5,8.75,12.87433366943933
ES.v.0,2020-01-24,3294.5,2020-01-27,3236.75,57.75,12.604120331815365
ES.v.0,2020-01-29,3272.5,2020-01-30,3249.0,23.5,6.568832859313557
ES.v.0,2020-02-03,3247.0,2020-02-04,3286.5,39.5,13.540546780985233
ES.v.0,2020-02-04,3296.0,2020-02-05,3328.0,32.0,13.323754202279378
ES.v.0,2020-02-06,3344.5,2020-02-07,3333.0,11.5,5.511741282511248
ES.v.0,2020-02-10,3351.5,2020-02-11,3366.25,14.75,6.0880576851066
ES.v.0,2020-02-12,3378.25,2020-02-13,3362.25,16.0,8.607386438675881
ES.v.0,2020-02-17,3388.0,2020-02-18,3368.5,19.5,29.427979045928147
ES.v.0,2020-02-21,3337.0,2020-02-24,3232.75,104.25,26.068168464056622
ES.v.0,2020-02-26,3116.25,2020-02-27,3054.25,62.0,7.016544870504077
ES.v.0,2020-02-27,2973.75,2020-02-28,2885.75,88.0,7.053872226144767
ES.v.0,2020-03-04,3127.0,2020-03-05,3047.0,80.0,9.40691845439222
ES.v.0,2020-03-05,3021.5,2020-03-06,2928.25,93.25,6.998381238994811
ES.v.0,2020-03-06,2970.5,2020-03-09,2762.0,208.5,13.22279151325241
ES.v.0,2020-03-09,2735.75,2020-03-10,2840.25,104.5,5.4987592677624475
ES.v.0,2020-03-11,2738.0,2020-03-12,2563.0,175.0,9.932162918695152
ES.v.0,2020-03-12,2469.75,2020-03-13,2622.5,152.75,6.6081003138731695
ES.v.0,2020-03-13,2703.75,2020-03-16,2513.5,190.25,6.219771755521163
ES.v.0,2020-03-17,2549.0,2020-03-18,2353.0,196.0,7.521424445448173
ES.v.0,2020-03-23,2216.75,2020-03-24,2346.75,130.0,5.828273698486538
ES.v.0,2020-03-31,2571.75,2020-04-01,2475.5,96.25,8.004960683381508
ES.v.0,2020-04-03,2479.5,2020-04-06,2575.25,95.75,8.827413603572118
ES.v.0,2020-04-06,2646.75,2020-04-07,2739.75,93.0,9.407626177025442
ES.v.0,2020-04-13,2753.0,2020-04-14,2807.5,54.5,5.979939677986584
ES.v.0,2020-04-14,2837.0,2020-04-15,2772.75,64.25,10.712060610211127
ES.v.0,2020-04-16,2788.75,2020-04-17,2850.25,61.5,8.994844035067228
ES.v.0,2020-04-17,2864.5,2020-04-20,2822.75,41.75,6.811881369666402
ES.v.0,2020-04-20,2813.25,2020-04-21,2764.25,49.0,5.907225365855668
ES.v.0,2020-04-21,2727.0,2020-04-22,2780.75,53.75,6.018686625249376
ES.v.0,2020-04-27,2869.25,2020-04-28,2908.5,39.25,9.49045129253606
